process_key,process_guid,process_id,image,process_name,command_line,user,parent_image,parent_name,phase,label,scenario_ids,first_seen,last_seen,event_count,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,has_network_connection,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,external_destination_count,runs_from_temp,runs_from_user_profile,has_powershell,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,is_lolbin,rare_parent_child,commandline_length_max,suspicious_keyword_count
guid:{00000000-0000-0000-0000-000000000000},{00000000-0000-0000-0000-000000000000},2964,<unknown process>,<unknown process>,,-,,,fase4_suspicious_simulated,background,,2026-07-01 09:34:31.619+02:00,2026-07-01 09:44:11.061+02:00,3,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-a216-6a43-2d00-000000000b00},{55857b6a-a216-6a43-2d00-000000000b00},2272,C:\Windows\System32\svchost.exe,svchost.exe,,NT AUTHORITY\Servicio de red,,,fase3_normal,normal,N5,2026-06-30 17:54:02.974+02:00,2026-06-30 17:55:34.959+02:00,20,1,0,20,0,0,0,0,0,0,0,1,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-a217-6a43-4300-000000000b00},{55857b6a-a217-6a43-4300-000000000b00},3296,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,mpdefendercoreservice.exe,,NT AUTHORITY\SYSTEM,,,fase3_normal,normal,,2026-06-30 17:52:45.254+02:00,2026-06-30 17:58:57.608+02:00,3,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-a5aa-6a43-2001-000000000b00},{55857b6a-a5aa-6a43-2001-000000000b00},1744,C:\WINDOWS\Explorer.EXE,explorer.exe,,labwin\jjstestal,,,fase3_normal,normal,,2026-06-30 17:52:32.431+02:00,2026-06-30 17:52:32.437+02:00,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guid:{55857b6a-a5ae-6a43-5001-000000000b00},{55857b6a-a5ae-6a43-5001-000000000b00},8500,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,msedgewebview2.exe,,labwin\jjstestal,,,fase3_normal,normal,,2026-06-30 17:56:20.499+02:00,2026-06-30 17:56:20.503+02:00,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guid:{55857b6a-b1b8-6a43-8602-000000000b00},{55857b6a-b1b8-6a43-8602-000000000b00},11472,C:\Windows\Sysmon64.exe,sysmon64.exe,,NT AUTHORITY\SYSTEM,,,fase3_normal,normal,,2026-06-30 17:55:36.951+02:00,2026-06-30 17:55:36.951+02:00,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f1-6a44-eb03-000000000000},{55857b6a-c0f1-6a44-eb03-000000000000},4,System,system,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,,2026-07-01 09:36:02.767+02:00,2026-07-01 09:38:40.506+02:00,4,1,0,4,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f5-6a44-1400-000000000c00},{55857b6a-c0f5-6a44-1400-000000000c00},1304,C:\Windows\System32\svchost.exe,svchost.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,,2026-07-01 09:35:42.460+02:00,2026-07-01 09:35:42.460+02:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f5-6a44-2d00-000000000c00},{55857b6a-c0f5-6a44-2d00-000000000c00},2264,C:\Windows\System32\svchost.exe,svchost.exe,,NT AUTHORITY\Servicio de red,,,fase4_suspicious_simulated,background,S2;S3;S5;S7,2026-07-01 09:33:31.675+02:00,2026-07-01 09:44:12.349+02:00,49,1,0,49,0,0,0,0,0,0,0,1,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f6-6a44-3800-000000000c00},{55857b6a-c0f6-6a44-3800-000000000c00},2940,C:\Windows\System32\audiodg.exe,audiodg.exe,,NT AUTHORITY\SERVICIO LOCAL,,,fase4_suspicious_simulated,background,S2,2026-07-01 09:33:27.037+02:00,2026-07-01 09:33:27.037+02:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
guid:{55857b6a-c0f6-6a44-3e00-000000000c00},{55857b6a-c0f6-6a44-3e00-000000000c00},3324,C:\Windows\System32\svchost.exe,svchost.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,S2,2026-07-01 09:33:28.642+02:00,2026-07-01 09:43:17.161+02:00,16,2,0,11,0,0,0,0,0,0,5,1,11,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f6-6a44-4200-000000000c00},{55857b6a-c0f6-6a44-4200-000000000c00},3420,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe,mpdefendercoreservice.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,S7,2026-07-01 09:31:59.272+02:00,2026-07-01 09:41:58.969+02:00,4,1,0,4,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f6-6a44-4400-000000000c00},{55857b6a-c0f6-6a44-4400-000000000c00},3444,C:\Windows\Sysmon64.exe,sysmon64.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,S2;S5;S7,2026-07-01 09:33:29.657+02:00,2026-07-01 09:44:12.215+02:00,30,1,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f6-6a44-4500-000000000c00},{55857b6a-c0f6-6a44-4500-000000000c00},3452,C:\WINDOWS\system32\svchost.exe,svchost.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,S2,2026-07-01 09:33:25.387+02:00,2026-07-01 09:33:25.387+02:00,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guid:{55857b6a-c0f6-6a44-4600-000000000c00},{55857b6a-c0f6-6a44-4600-000000000c00},3468,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe,msmpeng.exe,,NT AUTHORITY\SYSTEM,,,fase4_suspicious_simulated,background,S5,2026-07-01 09:39:55.954+02:00,2026-07-01 09:39:55.992+02:00,3,2,0,2,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
guid:{55857b6a-c0f8-6a44-6700-000000000c00},{55857b6a-c0f8-6a44-6700-000000000c00},5012,C:\WINDOWS\system32\sihost.exe,sihost.exe,,labwin\jjstestal,,,fase4_suspicious_simulated,background,,2026-07-01 09:33:52.284+02:00,2026-07-01 09:35:26.564+02:00,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
