phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,DestinationIsIpv6,ImageLoaded,Signature,SignatureStatus,Signed,SourceIsIpv6,SourcePortName
fase3_normal,fase3_sysmon_normal.evtx,1,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:51:47.813848+00:00,2026-06-30 17:51:47.813+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:51:47.811,{55857b6a-e613-6a43-3904-000000000b00},14280,C:\Windows\System32\wevtutil.exe,10.0.26100.8521 (WinBuild.160101.0800),Windows Event Log Utility,Microsoft® Windows® Operating System,Microsoft Corporation,wevtutil.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl Microsoft-Windows-Sysmon/Operational",C:\Users\jjstestal\,labwin\jjstestal,{55857b6a-a5a9-6a43-35f2-590000000000},0x000000000059f235,1,High,"SHA256=B97E3F0490A4F7485B63226AA6CD7ABE1EAA19DDA520B233185BA18BBA5C4328,IMPHASH=9D0B0164498DEE3DA72DF328E7AE8C0B",{55857b6a-e4b8-6a43-1004-000000000b00},12964,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,2,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:51:47.827530+00:00,2026-06-30 17:51:47.827+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:51:47.826,{55857b6a-e613-6a43-3904-000000000b00},14280,C:\Windows\System32\wevtutil.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,3,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:51:48.210415+00:00,2026-06-30 17:51:48.210+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:51:48.210,{55857b6a-e599-6a43-3004-000000000b00},14116,C:\Windows\System32\svchost.exe,,,,,,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,4,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:00.369930+00:00,2026-06-30 17:52:00.369+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:52:00.365,{55857b6a-e620-6a43-3a04-000000000b00},10732,C:\Windows\System32\svchost.exe,10.0.26100.8521 (WinBuild.160101.0800),Host Process for Windows Services,Microsoft® Windows® Operating System,Microsoft Corporation,svchost.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CaptureService,C:\WINDOWS\system32\,labwin\jjstestal,{55857b6a-a5a9-6a43-6df2-590000000000},0x000000000059f26d,1,Medium,"SHA256=2178F1915F740CCE64040107CD489E9E1FF828A7EA29CD706BC46BA0FBAA69C4,IMPHASH=DE43BD45CC98C143357416C7519ECCFD",{55857b6a-a215-6a43-0b00-000000000b00},924,C:\Windows\System32\services.exe,C:\WINDOWS\system32\services.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,5,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:00.475784+00:00,2026-06-30 17:52:00.475+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:52:00.474,{55857b6a-e620-6a43-3a04-000000000b00},10732,C:\Windows\System32\svchost.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,6,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:06.408432+00:00,2026-06-30 17:52:06.408+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:52:06.404,{55857b6a-e626-6a43-3b04-000000000b00},13328,C:\Windows\System32\SearchProtocolHost.exe,7.0.26100.8521 (WinBuild.160101.0800),Microsoft Windows Search Protocol Host,Windows® Search,Microsoft Corporation,SearchProtocolHost.exe,"""C:\WINDOWS\System32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe13_ Global\UsGthrCtrlFltPipeMssGthrPipe13 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",C:\WINDOWS\system32\,NT AUTHORITY\SYSTEM,{55857b6a-a215-6a43-e703-000000000000},0x00000000000003e7,0,System,"SHA256=6DFCC81BA20BFB42A03FE87DCC0BF09F5BDAEA1851EE6E48B9F44DAE877CD0DB,IMPHASH=3556D7A77C8F3EE85F571EE603BEB686",{55857b6a-a29c-6a43-8b00-000000000b00},4536,C:\Windows\System32\SearchIndexer.exe,C:\WINDOWS\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,7,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:06.427097+00:00,2026-06-30 17:52:06.427+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:52:06.425,{55857b6a-e626-6a43-3c04-000000000b00},5340,C:\Windows\System32\SearchFilterHost.exe,7.0.26100.8521 (WinBuild.160101.0800),Microsoft Windows Search Filter Host,Windows® Search,Microsoft Corporation,SearchFilterHost.exe,"""C:\WINDOWS\System32\SearchFilterHost.exe"" 1120 3004 1544 1096 {1295340B-BF50-4A88-BB2F-287E0B9B0016}",C:\WINDOWS\system32\,NT AUTHORITY\SYSTEM,{55857b6a-a215-6a43-e703-000000000000},0x00000000000003e7,0,Medium,"SHA256=402E063F83BCBB6C05FAB14D78D1BC23C8F1E82E979AC971529C3A9D0AB40CD9,IMPHASH=570C13FB68A0AF531D2C3B8F1F2066D9",{55857b6a-a29c-6a43-8b00-000000000b00},4536,C:\Windows\System32\SearchIndexer.exe,C:\WINDOWS\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,8,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:06.471285+00:00,2026-06-30 17:52:06.471+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:52:06.470,{55857b6a-e626-6a43-3d04-000000000b00},10480,C:\Windows\System32\SearchFilterHost.exe,7.0.26100.8521 (WinBuild.160101.0800),Microsoft Windows Search Filter Host,Windows® Search,Microsoft Corporation,SearchFilterHost.exe,"""C:\WINDOWS\System32\SearchFilterHost.exe"" 1120 1612 1604 1096 {0E5DCEC5-7795-4E38-9621-94DFD9F9A421}",C:\WINDOWS\system32\,NT AUTHORITY\SYSTEM,{55857b6a-a215-6a43-e703-000000000000},0x00000000000003e7,0,Medium,"SHA256=402E063F83BCBB6C05FAB14D78D1BC23C8F1E82E979AC971529C3A9D0AB40CD9,IMPHASH=570C13FB68A0AF531D2C3B8F1F2066D9",{55857b6a-a29c-6a43-8b00-000000000b00},4536,C:\Windows\System32\SearchIndexer.exe,C:\WINDOWS\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,9,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:08.009703+00:00,2026-06-30 17:52:08.009+02:00,4,1,0,0x8000000000000000,-,2026-06-30 15:52:08.008,{55857b6a-e628-6a43-3e04-000000000b00},7700,C:\Windows\System32\svchost.exe,10.0.26100.8521 (WinBuild.160101.0800),Host Process for Windows Services,Microsoft® Windows® Operating System,Microsoft Corporation,svchost.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CaptureService,C:\WINDOWS\system32\,labwin\jjstestal,{55857b6a-a5a9-6a43-6df2-590000000000},0x000000000059f26d,1,Medium,"SHA256=2178F1915F740CCE64040107CD489E9E1FF828A7EA29CD706BC46BA0FBAA69C4,IMPHASH=DE43BD45CC98C143357416C7519ECCFD",{55857b6a-a215-6a43-0b00-000000000b00},924,C:\Windows\System32\services.exe,C:\WINDOWS\system32\services.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
fase3_normal,fase3_sysmon_normal.evtx,10,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-06-30 15:52:08.081568+00:00,2026-06-30 17:52:08.081+02:00,4,5,0,0x8000000000000000,-,2026-06-30 15:52:08.080,{55857b6a-e628-6a43-3e04-000000000b00},7700,C:\Windows\System32\svchost.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
