phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,DestinationIsIpv6,EventType,ImageLoaded,Signature,SignatureStatus,Signed,SourceIsIpv6,SourcePortName
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,1,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:03.136211+00:00,2026-07-01 09:31:03.136+02:00,4,1,0,0x8000000000000000,-,2026-07-01 07:31:03.134,{55857b6a-c237-6a44-3401-000000000c00},11708,C:\Windows\System32\wevtutil.exe,10.0.26100.8521 (WinBuild.160101.0800),Windows Event Log Utility,Microsoft® Windows® Operating System,Microsoft Corporation,wevtutil.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl Microsoft-Windows-Sysmon/Operational",C:\Users\jjstestal\,labwin\jjstestal,{55857b6a-c0f8-6a44-0904-060000000000},0x0000000000060409,1,High,"SHA256=B97E3F0490A4F7485B63226AA6CD7ABE1EAA19DDA520B233185BA18BBA5C4328,IMPHASH=9D0B0164498DEE3DA72DF328E7AE8C0B",{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,2,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:03.146017+00:00,2026-07-01 09:31:03.146+02:00,4,5,0,0x8000000000000000,-,2026-07-01 07:31:03.145,{55857b6a-c237-6a44-3401-000000000c00},11708,C:\Windows\System32\wevtutil.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,3,1,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:03.776165+00:00,2026-07-01 09:31:03.776+02:00,4,1,0,0x8000000000000000,-,2026-07-01 07:31:03.772,{55857b6a-c237-6a44-3501-000000000c00},11772,C:\Windows\System32\wevtutil.exe,10.0.26100.8521 (WinBuild.160101.0800),Windows Event Log Utility,Microsoft® Windows® Operating System,Microsoft Corporation,wevtutil.exe,"""C:\WINDOWS\system32\wevtutil.exe"" cl Microsoft-Windows-PowerShell/Operational",C:\Users\jjstestal\,labwin\jjstestal,{55857b6a-c0f8-6a44-0904-060000000000},0x0000000000060409,1,High,"SHA256=B97E3F0490A4F7485B63226AA6CD7ABE1EAA19DDA520B233185BA18BBA5C4328,IMPHASH=9D0B0164498DEE3DA72DF328E7AE8C0B",{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,4,5,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:03.783234+00:00,2026-07-01 09:31:03.783+02:00,4,5,0,0x8000000000000000,-,2026-07-01 07:31:03.782,{55857b6a-c237-6a44-3501-000000000c00},11772,C:\Windows\System32\wevtutil.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,5,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:07.751947+00:00,2026-07-01 09:31:07.751+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:07.751,{55857b6a-c0fb-6a44-8a00-000000000c00},7320,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\jjstestal\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Default\Network\5059afd5-8de9-4a6c-bc16-9aa82857e146.tmp,2026-07-01 07:31:07.750,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,6,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:07.754644+00:00,2026-07-01 09:31:07.754+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:07.752,{55857b6a-c0fb-6a44-8a00-000000000c00},7320,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\jjstestal\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Default\Network\f82ce7dc-fc2d-401f-8837-6016fbb57b40.tmp,2026-07-01 07:31:07.752,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,7,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:16.565693+00:00,2026-07-01 09:31:16.565+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:16.565,{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\fase4_reset_logs.txt,2026-07-01 07:31:16.565,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,8,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:30.070599+00:00,2026-07-01 09:31:30.070+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:30.068,{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\fase4_sysmon_log_after_reset.txt,2026-07-01 07:31:30.068,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,9,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:42.468163+00:00,2026-07-01 09:31:42.468+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:42.466,{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\fase4_scenarios_timestamps.csv,2026-07-01 07:31:42.466,,,,,,,,
fase4_suspicious_simulated,fase4_sysmon_sospechosa.evtx,10,11,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,labwin,2026-07-01 07:31:51.940777+00:00,2026-07-01 09:31:51.940+02:00,4,11,0,0x8000000000000000,-,2026-07-01 07:31:51.940,{55857b6a-c19b-6a44-2101-000000000c00},1708,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,,,labwin\jjstestal,,,,,,,,,,,,,,,,,,,,,,,,,,C:\TFM_Triage\reports\fase4_start.txt,2026-07-01 07:31:51.940,,,,,,,,
