phase,source_file,record_number,event_id,provider,channel,computer,utc_system_time,local_time,level,task,opcode,keywords,RuleName,UtcTime,ProcessGuid,ProcessId,Image,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,User,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,ParentUser,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,QueryName,QueryStatus,QueryResults,TargetObject,Details,NewName,TargetFilename,CreationUtcTime,AADDomainJoin,ADDomainJoin,AccountName,AdaptiveTargetState,Address,AddressLength,AllFinalPcrValuesPcrBitmap,AllPcrDatasPcrBitmap,AttemptedRecoveryEnforcementSucceeded,BitlockerUserInputTime,BootId,BootMenuPolicy,BootMode,BootStatusPolicy,BootStlEnforced,BootType,BucketConfidenceLevel,BucketId,BuildVersion,ClearReason,ClientPID,CmosTime,CommandLineLength,Config,CorruptionActionState,CountNew,CountOld,CountPcrsInAllFinalPcrValuesPcrBitmap,CountPcrsInAllPcrDatasPcrBitmap,CurrentBias,CurrentStratumNumber,CurrentTimeZoneID,DCName,Data,Data_0,DateTime,Default SD String:,DeviceAttributes,DeviceInstance,DeviceInstanceLength,DeviceName,DeviceNameLength,DeviceObject,DeviceTime,DeviceVersionMajor,DeviceVersionMinor,DirtyPages,DomainController,DriveName,DueTime,DwordVal,EfiDaylightFlags,EfiTime,EfiTimeZoneBias,EnableDisableReason,EnabledNew,EntryCount,ErrorCode,ExecutablePath,ExitReason,ExtraString,ExtraStringLength,FailureReason,FileStartTime,FinalPcrValues,FinalPcrValuesSize,FinalStatus,FirstRefresh,GracePeriod,Group,HRESULT,HResult,HalRtcErrorCode,HardwareChecks,HiveName,HiveNameLength,Host OS Build number,Host OS Major version,Host OS Minor version,Host OS Service pack major number,Host OS Service pack minor number,IdleImplementation,IdleStateCount,ImagePath,Installation choice,InternalBootFlags,InternalCode,IsAutoEnabled,IsLicensed,IsSecureBootOn,IsSoftBoot,IsTestConfig,IsUnattended,Json,KeysUpdated,LastBootGood,LastBootId,LastShutdownGood,Level,LoadOptions,LoaderTime,LocalStatus,MajorVersion,MaximumPerformancePercent,MinimumPasswordLength,MinimumPasswordLengthAudit,MinimumPerformancePercent,MinimumThrottlePercent,MinorVersion,MonitorReason,NewLatchTimerNeeded,NewLatchTimerWaitingSystemUpdateCompletion,NewSchemeGuid,NewSize,NewTime,NewTimerNeeded,NewTimerWaitingUpdateCompletion,NextSessionId,NextSessionType,NominalFrequency,Number,OSEditionID,OSName,OSbuildversion,OSmajorversion,OSminorversion,OSservicepackName,OSservicepackmajorversion,OSservicepackminorversion,OldSchemeGuid,OldTime,OriginalSize,Path,PerformanceImplementation,Phase,PolicyFileExists,PowerStateAc,PreviousEnergyCapacityAtEnd,PreviousEnergyCapacityAtStart,PreviousFullEnergyCapacityAtEnd,PreviousFullEnergyCapacityAtStart,PreviousLatchTimerExistsButDisabled,PreviousSessionDurationInUs,PreviousSessionId,PreviousSessionType,PreviousTimerExists,PreviousTimerExistsButDisabled,PreviousTimerStartTime,ProcessID,ProcessImageFileNameWin32,ProcessName,ProcessNameLength,ProcessPath,ProcessPid,ProcessingMode,ProcessingTimeInMilliseconds,QfeVersion,RealTimeIsUniversal,Reason,RelaxMinimumPasswordLengthLimits,ReserveStatus,RmId,SealedPcrDigestsDatums,SealedPcrDigestsDatumsSize,ServiceName,ServiceType,ServiceVersion,ShutdownActionType,ShutdownDuration,ShutdownEventCode,ShutdownReason,StartTime,StartType,State,Status,StopTime,Success,SupportInfo1,SupportInfo2,SupportedFeatures,SystemInCmosMode,SystemTime,TSId,TcgLogHashAlgorithm,TcgLogHashAlgorithmSize,TimeDeltaInMs,TimeSource,TimeSourceRefId,TimeZoneBias,TimeZoneInfoCacheUpdated,TmId,Turn,UpdateReason,UpdateType,Url,UserData_raw,UserSid,Version,VetoingDevices,VetoingDevicesLength,Volume,VsmPolicy,WritePhase,driverFile,errorCode,lineNumber,param1,param10,param11,param2,param3,param4,param5,param6,param7,param8,param9,serviceGuid,updateGuid,updateRevisionNumber,updateTitle,win32Error
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,1,6011,EventLog,System,WIN-3POH0BPQ67M,2026-04-21 07:48:10.106548+00:00,2026-04-21 09:48:10.106+02:00,4,0,0,0x0080000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<string>WIN-3POH0BPQ67M</string>
<string></string>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,2,6009,EventLog,System,WIN-3POH0BPQ67M,2026-04-21 07:48:10.106733+00:00,2026-04-21 09:48:10.106+02:00,4,0,0,0x0080000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<string>10.00.</string>
<string>26200</string>
<string></string>
<string>Multiprocessor Free</string>
<string>0</string>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,3,6005,EventLog,System,WIN-3POH0BPQ67M,2026-04-21 07:48:10.106802+00:00,2026-04-21 09:48:10.106+02:00,4,0,0,0x0080000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,4,12,Microsoft-Windows-Kernel-General,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547554+00:00,2026-04-21 09:47:59.547+02:00,4,1,0,0x8000000000000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7623,,,,,,,,,,0,,,,,2026-04-21 07:47:59.500000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,5,25,Microsoft-Windows-Kernel-General,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547558+00:00,2026-04-21 09:47:59.547+02:00,4,12,0,0x8000000000000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,False,,,,,,,,,,2026-04-21 08:47:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,True,,,,,2026-04-21 08:47:59.500000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,6,153,Microsoft-Windows-Kernel-Boot,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547756+00:00,2026-04-21 09:47:59.547+02:00,4,62,0,0x8000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,7,20,Microsoft-Windows-Kernel-Boot,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547903+00:00,2026-04-21 09:47:59.547+02:00,4,31,0,0x8000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,8,247,Microsoft-Windows-Kernel-Boot,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547926+00:00,2026-04-21 09:47:59.547+02:00,4,99,12,0x8000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,9,238,Microsoft-Windows-Kernel-Boot,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547930+00:00,2026-04-21 09:47:59.547+02:00,4,101,0,0x8000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-04-21 09:47:58+00:00,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fase4_suspicious_simulated,fase4_system_sospechosa.evtx,10,25,Microsoft-Windows-Kernel-Boot,System,WIN-3POH0BPQ67M,2026-04-21 07:47:59.547930+00:00,2026-04-21 09:47:59.547+02:00,4,32,0,0x8000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
