method,ranking_position,score,scenario_ids,process_name,image
baseline_heuristico,1,109,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
baseline_heuristico,2,91,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
baseline_heuristico,8,51,S3,reg.exe,C:\Windows\System32\reg.exe
baseline_heuristico,9,51,S3,reg.exe,C:\Windows\System32\reg.exe
baseline_heuristico,10,51,S1,svchost-test.exe,C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe
baseline_heuristico,12,46,S3,reg.exe,C:\Windows\System32\reg.exe
baseline_heuristico,13,46,S3,reg.exe,C:\Windows\System32\reg.exe
baseline_heuristico,15,41,S5,sc.exe,C:\Windows\System32\sc.exe
baseline_heuristico,17,36,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
baseline_heuristico,18,36,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
baseline_heuristico,19,36,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
baseline_heuristico,20,36,S5,sc.exe,C:\Windows\System32\sc.exe
baseline_heuristico,21,36,S5,sc.exe,C:\Windows\System32\sc.exe
baseline_heuristico,30,32,S3,reg.exe,C:\Windows\System32\reg.exe
isolation_forest,3,0.17443422836238187,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
isolation_forest,15,0.03785206123173346,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
isolation_forest,28,0.0006562964262506465,S1,svchost-test.exe,C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe
isolation_forest,35,-0.02367676624205639,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
isolation_forest,36,-0.02519908253959513,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
isolation_forest,37,-0.02543800129903062,S4,schtasks.exe,C:\Windows\System32\schtasks.exe
isolation_forest,52,-0.0755164062798388,S3,reg.exe,C:\Windows\System32\reg.exe
isolation_forest,53,-0.0755164062798388,S3,reg.exe,C:\Windows\System32\reg.exe
isolation_forest,61,-0.10582860477598899,S3,reg.exe,C:\Windows\System32\reg.exe
isolation_forest,62,-0.10582860477598899,S3,reg.exe,C:\Windows\System32\reg.exe
isolation_forest,65,-0.11115845090518811,S5,sc.exe,C:\Windows\System32\sc.exe
isolation_forest,71,-0.12165213053738894,S5,sc.exe,C:\Windows\System32\sc.exe
isolation_forest,72,-0.1222067007630585,S5,sc.exe,C:\Windows\System32\sc.exe
isolation_forest,73,-0.1232332114357555,S3,reg.exe,C:\Windows\System32\reg.exe
