rank,baseline_score,risk_level,label,scenario_ids,process_name,image,command_line,parent_image,user,event_count,main_reasons,process_key,process_guid,process_id,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,has_network_connection,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,external_destination_count,runs_from_temp,runs_from_user_profile,has_powershell,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,is_lolbin,rare_parent_child,commandline_length_max,suspicious_keyword_count
1,109,alto,suspicious_simulated,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,labwin\jjstestal,36,+25 ejecución o artefacto asociado a ruta temporal; +25 uso de PowerShell con EncodedCommand; +18 artefacto en carpeta Startup; +10 conexión de red asociada al proceso; +8 destinos de red externos; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c19b-6a44-2101-000000000c00},{55857b6a-c19b-6a44-2101-000000000c00},1708,,fase4_suspicious_simulated,2026-07-01 09:31:16.565+02:00,2026-07-01 09:44:25.214+02:00,3,0,1,0,0,31,0,0,0,4,1,1,4,31,0,1,1,1,0,1,1,0,0,0,1,1,0,0,7
2,91,alto,suspicious_simulated,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAFQARgBNACAARgBhAHMAZQAgADQAIABwAHIAdQBlAGIAYQAgAGIAZQBuAGkAZwBuAGEAIABlAG4AYwBvAGQAZQBkACAAYwBvAG0AbQBhAG4AZAAiACAAfAAgAE8AdQB0AC0ARgBpAGwAZQAgAEMAOgBcAFQARgBNAF8AVAByAGkAYQBnAGUAXAByAGUAcABvAHIAdABzAFwAZgBhAHMAZQA0AF8AUwAyAF8AZQBuAGMAbwBkAGUAZABfAG8AdQB0AHAAdQB0AC4AdAB4AHQA",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,6,+25 ejecución o artefacto asociado a ruta temporal; +25 uso de PowerShell con EncodedCommand; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense,guid:{55857b6a-c2c6-6a44-5201-000000000c00},{55857b6a-c2c6-6a44-5201-000000000c00},10324,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:33:26.561+02:00,2026-07-01 09:33:27.277+02:00,3,1,0,1,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,1,1,0,399,6
3,81,alto,background,S2;S3,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",C:\Program Files\Mozilla Firefox\firefox.exe,labwin\jjstestal,90,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +10 conexión de red asociada al proceso; +8 destinos de red externos; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +5 múltiples creaciones de fichero,guid:{55857b6a-c2c5-6a44-4201-000000000c00},{55857b6a-c2c5-6a44-4201-000000000c00},8916,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:25.342+02:00,2026-07-01 09:33:37.833+02:00,5,1,7,1,0,70,0,0,0,11,1,7,11,70,0,4,3,1,0,0,0,0,0,0,1,0,0,268,3
4,66,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-ChildItem C:\TFM_Triage | Select-Object Name, FullName""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense,guid:{55857b6a-e6e3-6a43-5304-000000000b00},{55857b6a-e6e3-6a43-5304-000000000b00},3228,powershell.exe,fase3_normal,2026-06-30 17:55:15.273+02:00,2026-06-30 17:55:15.987+02:00,3,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,140,4
5,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command Get-Date",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense,guid:{55857b6a-e6e0-6a43-5004-000000000b00},{55857b6a-e6e0-6a43-5004-000000000b00},13216,powershell.exe,fase3_normal,2026-06-30 17:55:12.676+02:00,2026-06-30 17:55:13.742+02:00,3,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,88,4
6,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Process | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense,guid:{55857b6a-e6e1-6a43-5104-000000000b00},{55857b6a-e6e1-6a43-5104-000000000b00},3768,powershell.exe,fase3_normal,2026-06-30 17:55:13.765+02:00,2026-06-30 17:55:14.523+02:00,3,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,119,4
7,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Service | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense,guid:{55857b6a-e6e2-6a43-5204-000000000b00},{55857b6a-e6e2-6a43-5204-000000000b00},6516,powershell.exe,fase3_normal,2026-06-30 17:55:14.547+02:00,2026-06-30 17:55:15.249+02:00,3,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,119,4
8,51,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,4,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso,guid:{55857b6a-c2d6-6a44-5c01-000000000c00},{55857b6a-c2d6-6a44-5c01-000000000c00},9176,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:33:42.269+02:00,2026-07-01 09:33:42.276+02:00,4,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,143,3
9,51,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,4,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso,guid:{55857b6a-c334-6a44-6501-000000000c00},{55857b6a-c334-6a44-6501-000000000c00},15940,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:35:16.547+02:00,2026-07-01 09:35:16.551+02:00,4,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,143,3
10,51,medio,suspicious_simulated,S1,svchost-test.exe,C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe,"""C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,labwin\jjstestal,3,+25 ejecución o artefacto asociado a ruta temporal; +10 ejecución o artefacto asociado a perfil de usuario; +6 relación padre-hijo poco frecuente en el dataset; +10 varias palabras clave de interés forense,guid:{55857b6a-c292-6a44-3601-000000000c00},{55857b6a-c292-6a44-3601-000000000c00},14700,powershell.exe,fase4_suspicious_simulated,2026-07-01 09:32:34.142+02:00,2026-07-01 09:32:34.161+02:00,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,64,5
