ml_rank,ml_anomaly_score,ml_decision_function,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,has_startup_folder,runs_from_temp,has_network_connection,external_destination_count,suspicious_keyword_count,process_key,process_guid,process_id,user,parent_name,phase,first_seen,last_seen,unique_event_ids,event_id_1_process_create,event_id_3_network,event_id_5_process_terminate,event_id_7_image_load,event_id_11_file_create,event_id_12_registry_create,event_id_13_registry_set,event_id_14_registry_rename,event_id_22_dns,network_connection_count,dns_query_count,file_creation_count,registry_event_count,destination_ip_count,runs_from_user_profile,has_powershell,is_lolbin,rare_parent_child,commandline_length_max
1,0.21535582476325,-0.21535582476325,normal,N1;N2;N3;N4;N5,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,40,0,0,0,0,0,0,1,2,2,guid:{55857b6a-e4b8-6a43-1004-000000000b00},{55857b6a-e4b8-6a43-1004-000000000b00},12964,labwin\jjstestal,,fase3_normal,2026-06-30 17:52:59.339+02:00,2026-06-30 17:59:21.979+02:00,3,0,2,0,0,30,0,0,0,8,2,8,30,0,2,0,1,1,0,0
2,0.20765607746283732,-0.20765607746283732,background,S2;S3,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",C:\Program Files\Mozilla Firefox\firefox.exe,90,0,0,0,0,1,1,1,3,3,guid:{55857b6a-c2c5-6a44-4201-000000000c00},{55857b6a-c2c5-6a44-4201-000000000c00},8916,labwin\jjstestal,firefox.exe,fase4_suspicious_simulated,2026-07-01 09:33:25.342+02:00,2026-07-01 09:33:37.833+02:00,5,1,7,1,0,70,0,0,0,11,7,11,70,0,4,0,0,0,0,268
3,0.17443422836238187,-0.17443422836238187,suspicious_simulated,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,36,1,0,0,0,1,1,1,1,7,guid:{55857b6a-c19b-6a44-2101-000000000c00},{55857b6a-c19b-6a44-2101-000000000c00},1708,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:31:16.565+02:00,2026-07-01 09:44:25.214+02:00,3,0,1,0,0,31,0,0,0,4,1,4,31,0,1,0,1,1,0,0
4,0.13522262106275362,-0.13522262106275362,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,,,16,0,0,0,0,0,0,1,5,0,guid:{55857b6a-c0f6-6a44-3e00-000000000c00},{55857b6a-c0f6-6a44-3e00-000000000c00},3324,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:33:28.642+02:00,2026-07-01 09:43:17.161+02:00,2,0,11,0,0,0,0,0,0,5,11,5,0,0,5,0,0,0,0,0
5,0.12919510479403074,-0.12919510479403074,background,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,91,0,0,0,0,0,0,1,13,1,guid:{55857b6a-c0fb-6a44-8a00-000000000c00},{55857b6a-c0fb-6a44-8a00-000000000c00},7320,labwin\jjstestal,,fase4_suspicious_simulated,2026-07-01 09:31:07.751+02:00,2026-07-01 09:40:13.447+02:00,2,0,82,0,0,9,0,0,0,0,82,0,9,0,14,0,0,0,0,0
6,0.10804184891949431,-0.10804184891949431,background,,systemsettings.exe,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,"""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel",-,13,0,0,0,0,0,0,1,1,1,guid:{55857b6a-c301-6a44-5e01-000000000c00},{55857b6a-c301-6a44-5e01-000000000c00},9248,labwin\jjstestal,-,fase4_suspicious_simulated,2026-07-01 09:34:25.543+02:00,2026-07-01 09:34:29.326+02:00,4,1,2,0,0,9,0,0,0,1,2,1,9,0,1,0,0,0,1,105
7,0.1032084094632627,-0.1032084094632627,background,S2,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,25,0,0,0,0,0,0,1,1,1,guid:{55857b6a-c2c5-6a44-3801-000000000c00},{55857b6a-c2c5-6a44-3801-000000000c00},5308,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:25.320+02:00,2026-07-01 09:33:35.256+02:00,5,1,20,1,0,1,0,0,0,2,20,2,1,0,1,0,0,0,0,13
8,0.09686451033247534,-0.09686451033247534,background,,svchost.exe,C:\Windows\System32\svchost.exe,,,8,0,0,0,0,0,0,1,4,0,guid:{55857b6a-c111-6a44-d900-000000000c00},{55857b6a-c111-6a44-d900-000000000c00},14124,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:35:52.116+02:00,2026-07-01 09:40:50.343+02:00,2,0,4,0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0
9,0.09372356224722378,-0.09372356224722378,background,S2;S3;S5;S7,svchost.exe,C:\Windows\System32\svchost.exe,,,49,0,0,0,0,0,0,1,0,0,guid:{55857b6a-c0f5-6a44-2d00-000000000c00},{55857b6a-c0f5-6a44-2d00-000000000c00},2264,NT AUTHORITY\Servicio de red,,fase4_suspicious_simulated,2026-07-01 09:33:31.675+02:00,2026-07-01 09:44:12.349+02:00,1,0,49,0,0,0,0,0,0,0,49,0,0,0,2,0,0,0,0,0
10,0.08891314812801254,-0.08891314812801254,background,,svchost.exe,C:\WINDOWS\System32\svchost.exe,,,8,0,0,0,0,0,0,1,3,1,guid:{55857b6a-c170-6a44-0101-000000000c00},{55857b6a-c170-6a44-0101-000000000c00},15224,NT AUTHORITY\Servicio de red,,fase4_suspicious_simulated,2026-07-01 09:35:58.870+02:00,2026-07-01 09:36:01.244+02:00,3,0,4,0,0,2,0,0,0,2,4,2,2,0,3,0,0,0,0,0
11,0.08203953217930593,-0.08203953217930593,normal,N5,svchost.exe,C:\Windows\System32\svchost.exe,,,20,0,0,0,0,0,0,1,0,0,guid:{55857b6a-a216-6a43-2d00-000000000b00},{55857b6a-a216-6a43-2d00-000000000b00},2272,NT AUTHORITY\Servicio de red,,fase3_normal,2026-06-30 17:54:02.974+02:00,2026-06-30 17:55:34.959+02:00,1,0,20,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0
12,0.07686998799470257,-0.07686998799470257,background,S2,maintenanceservice.exe,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,"""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe""",-,12,0,0,0,0,0,0,1,1,1,guid:{55857b6a-c2ca-6a44-5801-000000000c00},{55857b6a-c2ca-6a44-5801-000000000c00},7540,NT AUTHORITY\SYSTEM,-,fase4_suspicious_simulated,2026-07-01 09:33:30.055+02:00,2026-07-01 09:33:33.954+02:00,5,1,1,1,0,8,0,0,0,1,1,1,8,0,1,0,0,0,1,75
13,0.053849652672074866,-0.053849652672074866,background,S5,msmpeng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe,,,3,0,0,0,0,0,0,1,1,0,guid:{55857b6a-c0f6-6a44-4600-000000000c00},{55857b6a-c0f6-6a44-4600-000000000c00},3468,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:39:55.954+02:00,2026-07-01 09:39:55.992+02:00,2,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0
14,0.04506358971408997,-0.04506358971408997,background,S2;S5;S7,sysmon64.exe,C:\Windows\Sysmon64.exe,,,30,0,0,0,0,0,0,0,0,0,guid:{55857b6a-c0f6-6a44-4400-000000000c00},{55857b6a-c0f6-6a44-4400-000000000c00},3444,NT AUTHORITY\SYSTEM,,fase4_suspicious_simulated,2026-07-01 09:33:29.657+02:00,2026-07-01 09:44:12.215+02:00,1,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0
