rank,baseline_score,risk_level,label,scenario_ids,process_name,image,command_line,parent_image,event_count,main_reasons
1,109,alto,suspicious_simulated,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,36,+25 ejecución o artefacto asociado a ruta temporal; +25 uso de PowerShell con EncodedCommand; +18 artefacto en carpeta Startup; +10 conexión de red asociada al proceso; +8 destinos de red externos; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense; +5 múltiples creaciones de fichero
2,91,alto,suspicious_simulated,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAFQARgBNACAARgBhAHMAZQAgADQAIABwAHIAdQBlAGIAYQAgAGIAZQBuAGkAZwBuAGEAIABlAG4AYwBvAGQAZQBkACAAYwBvAG0AbQBhAG4AZAAiACAAfAAgAE8AdQB0AC0ARgBpAGwAZQAgAEMAOgBcAFQARgBNAF8AVAByAGkAYQBnAGUAXAByAGUAcABvAHIAdABzAFwAZgBhAHMAZQA0AF8AUwAyAF8AZQBuAGMAbwBkAGUAZABfAG8AdQB0AHAAdQB0AC4AdAB4AHQA",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6,+25 ejecución o artefacto asociado a ruta temporal; +25 uso de PowerShell con EncodedCommand; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense
3,81,alto,background,S2;S3,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",C:\Program Files\Mozilla Firefox\firefox.exe,90,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +10 conexión de red asociada al proceso; +8 destinos de red externos; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +5 múltiples creaciones de fichero
4,66,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-ChildItem C:\TFM_Triage | Select-Object Name, FullName""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense
5,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command Get-Date",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
6,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Process | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
7,61,medio,normal,N4,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -Command ""Get-Service | Select-Object -First 10""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,5,+25 ejecución o artefacto asociado a ruta temporal; +18 artefacto en carpeta Startup; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
8,51,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,4,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso
9,51,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /t REG_SZ /d C:\Windows\System32\notepad.exe /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,4,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso
10,51,medio,suspicious_simulated,S1,svchost-test.exe,C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe,"""C:\Users\JJSTES~1\AppData\Local\Temp\TFMTest\svchost-test.exe"" ",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,+25 ejecución o artefacto asociado a ruta temporal; +10 ejecución o artefacto asociado a perfil de usuario; +6 relación padre-hijo poco frecuente en el dataset; +10 varias palabras clave de interés forense
11,50,medio,background,S2,crashhelper.exe,C:\Program Files\Mozilla Firefox\crashhelper.exe,"""C:\Program Files\Mozilla Firefox\crashhelper.exe"" ""8916"" ""\\.\pipe\gecko-crash-server-pipe.8916"" ""C:\Users\JJSTES~1\AppData\Local\Temp\\"" ""784"" ""796"" ""812""",C:\Program Files\Mozilla Firefox\firefox.exe,2,+25 ejecución o artefacto asociado a ruta temporal; +10 ejecución o artefacto asociado a perfil de usuario; +6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga; +4 palabras clave de interés forense
12,46,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" delete HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso
13,46,medio,suspicious_simulated,S3,reg.exe,C:\Windows\System32\reg.exe,"""C:\WINDOWS\system32\reg.exe"" delete HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v TFMTest /f",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,3,+20 modificación de clave Run asociada a persistencia; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense; +8 eventos de registro asociados al proceso
14,45,medio,background,,mpsigstub.exe,C:\Windows\System32\MpSigStub.exe,C:\WINDOWS\system32\MpSigStub.exe /stub 1.1.24010.2001 /payload 1.453.370.0 /MpWUStub /program C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.453.359.0.exe WD /q,C:\Windows\UUS\amd64\wuaucltcore.exe,8,+25 ejecución o artefacto asociado a ruta temporal; +6 relación padre-hijo poco frecuente en el dataset; +5 línea de comandos larga; +4 palabras clave de interés forense; +5 múltiples creaciones de fichero
15,41,medio,suspicious_simulated,S5,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" create TFMTestService binPath= ""C:\Windows\System32\cmd.exe /c echo TFMTestService"" start= demand",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,+18 creación o gestión de servicio; +8 uso de binario legítimo de administración o LOLBin; +5 línea de comandos larga; +10 varias palabras clave de interés forense
16,36,bajo,background,S2,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" start pushtoinstall registration",-,2,+18 creación o gestión de servicio; +8 uso de binario legítimo de administración o LOLBin; +6 relación padre-hijo poco frecuente en el dataset; +4 palabras clave de interés forense
17,36,bajo,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Create /TN TFMTestTask /TR notepad.exe /SC ONCE /ST 23:59 /F",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,+18 creación o uso de tarea programada; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
18,36,bajo,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Query /TN TFMTestTask /V /FO LIST",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,+18 creación o uso de tarea programada; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
19,36,bajo,suspicious_simulated,S4,schtasks.exe,C:\Windows\System32\schtasks.exe,"""C:\WINDOWS\system32\schtasks.exe"" /Delete /TN TFMTestTask /F",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,+18 creación o uso de tarea programada; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
20,36,bajo,suspicious_simulated,S5,sc.exe,C:\Windows\System32\sc.exe,"""C:\WINDOWS\system32\sc.exe"" query TFMTestService",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,2,+18 creación o gestión de servicio; +8 uso de binario legítimo de administración o LOLBin; +10 varias palabras clave de interés forense
