ml_rank,ml_anomaly_score,label,scenario_ids,process_name,image,command_line,parent_image,event_count,has_encoded_command,has_registry_run,has_scheduled_task,has_service_creation,runs_from_temp,has_network_connection
1,0.21535582476325,normal,N1;N2;N3;N4;N5,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,40,0,0,0,0,0,1
2,0.20765607746283732,background,S2;S3,firefox.exe,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" --MOZ_LOG sync,prependheader,timestamp,append,maxsize:1,Dump:5 --MOZ_LOG_FILE C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate.moz_log --backgroundtask backgroundupdate",C:\Program Files\Mozilla Firefox\firefox.exe,90,0,0,0,0,1,1
3,0.17443422836238187,suspicious_simulated,S1;S2;S3;S4;S5;S6;S7,powershell.exe,C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe,,,36,1,0,0,0,1,1
4,0.13522262106275362,background,S2,svchost.exe,C:\Windows\System32\svchost.exe,,,16,0,0,0,0,0,1
5,0.12919510479403074,background,,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe,,,91,0,0,0,0,0,1
6,0.10804184891949431,background,,systemsettings.exe,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,"""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel",-,13,0,0,0,0,0,1
7,0.1032084094632627,background,S2,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,25,0,0,0,0,0,1
8,0.09686451033247534,background,,svchost.exe,C:\Windows\System32\svchost.exe,,,8,0,0,0,0,0,1
9,0.09372356224722378,background,S2;S3;S5;S7,svchost.exe,C:\Windows\System32\svchost.exe,,,49,0,0,0,0,0,1
10,0.08891314812801254,background,,svchost.exe,C:\WINDOWS\System32\svchost.exe,,,8,0,0,0,0,0,1
11,0.08203953217930593,normal,N5,svchost.exe,C:\Windows\System32\svchost.exe,,,20,0,0,0,0,0,1
12,0.07686998799470257,background,S2,maintenanceservice.exe,C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe,"""C:\Program Files (x86)\Mozilla Maintenance Service\maintenanceservice.exe""",-,12,0,0,0,0,0,1
13,0.053849652672074866,background,S5,msmpeng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe,,,3,0,0,0,0,0,1
14,0.04506358971408997,background,S2;S5;S7,sysmon64.exe,C:\Windows\Sysmon64.exe,,,30,0,0,0,0,0,0
15,0.03785206123173346,suspicious_simulated,S2,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAFQARgBNACAARgBhAHMAZQAgADQAIABwAHIAdQBlAGIAYQAgAGIAZQBuAGkAZwBuAGEAIABlAG4AYwBvAGQAZQBkACAAYwBvAG0AbQBhAG4AZAAiACAAfAAgAE8AdQB0AC0ARgBpAGwAZQAgAEMAOgBcAFQARgBNAF8AVAByAGkAYQBnAGUAXAByAGUAcABvAHIAdABzAFwAZgBhAHMAZQA0AF8AUwAyAF8AZQBuAGMAbwBkAGUAZABfAG8AdQB0AHAAdQB0AC4AdAB4AHQA",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6,1,0,0,0,1,0
16,0.022860701389292526,background,S2,softlandingtask.exe,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SoftLandingTask\SoftLandingTask.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SoftLandingTask\SoftLandingTask.exe"" -Embedding",-,4,0,0,0,0,0,1
17,0.020357876608610215,background,,<unknown process>,<unknown process>,,,3,0,0,0,0,0,1
18,0.017942784333278228,background,,taskhostw.exe,C:\Windows\System32\taskhostw.exe,taskhostw.exe,-,5,0,0,0,0,0,1
19,0.01618937879784621,background,,mousocoreworker.exe,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,"""C:\WINDOWS\uus\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",C:\Windows\System32\svchost.exe,5,0,0,0,0,0,1
20,0.012107678449145287,background,,widgetservice.exe,C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.15.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe,,,34,0,0,0,0,0,0
